,DB_Calls,DB_Call_IVs,DB_Puts,DB_Put_IVs,OKX_Calls,OKX_Call_IVs,OKX_Puts,OKX_Put_IVs
0,=BTC-27DEC24-65000-C,85.15,=BTC-27DEC24-65000-P,79.33,BTC-USD-241227-80000-C,63.66,BTC-USD-241227-80000-P,63.17
1,=BTC-27DEC24-70000-C,75.57,=BTC-27DEC24-70000-P,72.52,BTC-USD-241227-85000-C,62.59,BTC-USD-241227-85000-P,60.36
2,=BTC-27DEC24-75000-C,72.82,=BTC-27DEC24-75000-P,67.0,BTC-USD-241227-90000-C,60.64,BTC-USD-241227-90000-P,59.45
3,=BTC-27DEC24-80000-C,67.49,=BTC-27DEC24-80000-P,63.45,BTC-USD-241227-95000-C,59.69,BTC-USD-241227-95000-P,59.57
4,=BTC-27DEC24-85000-C,63.57,=BTC-27DEC24-85000-P,60.67,BTC-USD-241227-100000-C,60.76,BTC-USD-241227-100000-P,61.1
5,=BTC-27DEC24-90000-C,60.97,=BTC-27DEC24-90000-P,59.29,BTC-USD-241227-105000-C,61.4,BTC-USD-241227-105000-P,61.8
6,=BTC-27DEC24-95000-C,59.62,=BTC-27DEC24-95000-P,59.59,BTC-USD-241227-110000-C,62.81,BTC-USD-241227-110000-P,63.75
7,BTC-27DEC24-100000-C,59.92,BTC-27DEC24-100000-P,60.41,BTC-USD-241227-115000-C,64.09,BTC-USD-241227-115000-P,0.0
8,BTC-27DEC24-105000-C,61.06,BTC-27DEC24-105000-P,61.66,BTC-USD-241227-120000-C,65.67,BTC-USD-241227-120000-P,70.5
9,BTC-27DEC24-110000-C,62.05,BTC-27DEC24-110000-P,66.02,,,,
10,BTC-27DEC24-115000-C,63.3,BTC-27DEC24-115000-P,64.79,,,,
11,BTC-27DEC24-120000-C,64.79,BTC-27DEC24-120000-P,69.02,,,,
12,BTC-27DEC24-125000-C,67.02,BTC-27DEC24-125000-P,72.05,,,,
13,BTC-27DEC24-130000-C,68.78,BTC-27DEC24-130000-P,75.58,,,,
